image_name,correct_class,image_prediction,basic_prediction,all_prediction,result_type
RAYS_VR_TE37_SAGA_Splus_013.jpg,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,画像のみで正解
RAYS_VR_TE37_SAGA_Splus_015.jpg,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,画像のみで正解
RAYS_VR_TE37_SAGA_Splus_021.jpg,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,画像のみで正解
WORK_EMOTION_CR_Kiwami_009.jpg,WORK_EMOTION_CR_Kiwami,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,条件反映後も誤分類
WORK_EMOTION_CR_Kiwami_018.jpg,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,画像のみで正解
WORK_EMOTION_CR_Kiwami_019.jpg,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,画像のみで正解
WORK_EMOTION_CR_Kiwami_024.jpg,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,画像のみで正解
WORK_EMOTION_CR_Kiwami_030.jpg,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,画像のみで正解
WORK_EMOTION_CR_Kiwami_031.jpg,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,画像のみで正解
WORK_MEISTER_S1_3PIECE_004.jpg,WORK_MEISTER_S1_3PIECE,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,WORK_EMOTION_CR_Kiwami,条件反映後も誤分類
WORK_MEISTER_S1_3PIECE_008.jpg,WORK_MEISTER_S1_3PIECE,BBS_RI_A,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,基本条件によって改善
WORK_MEISTER_S1_3PIECE_011.jpg,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,画像のみで正解
WORK_MEISTER_S1_3PIECE_018.jpg,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,画像のみで正解
WORK_MEISTER_S1_3PIECE_021.jpg,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,画像のみで正解
WORK_MEISTER_S1_3PIECE_025.jpg,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,画像のみで正解
